stars,comment
1.0 out of 5 stars,im coming galaxy s5 rooted deleted approx 200 apps n't use slower hundreds stock apps n't use one turns auto update wants unremovable notification last system update arrogance
1.0 out of 5 stars,pre-ordered phone amazon told chat participing galaxy buds promotions samsung fake get anything amazon samsung saying fault n't want anything
1.0 out of 5 stars,snapdragon phone english returned went best buy
1.0 out of 5 stars,phone great first started getting really hot losing battery really fast eventually turned matter could n't get charge back sent replacement unfortunately replacement blocked phone could n't even use never buying expensive tech amazon future
4.0 out of 5 stars,thumbprint reader located edge phone top right edge means phone cases need large cut right edge every case made phone weak right guess 's design flaw sense phone cases hard make well phone personally never use thumbprint reader wish phone back n't one looking case actually covers spot since never use would prefer good case.ohterwise amazing phone great camera fast still headphone jack 's smaller anything else nice got lot things going phone
5.0 out of 5 stars,beautiful phone 've 4 previous galaxy phones 'm well accumulated android samsung everyone knows awesome android superior samsung screens continue get better time unfortunately screen sensitive use without case simply ca n't n't hold phone without hands fingers touching edges working actually trying press otter box phone case arrive day later problem solved make sure get full updates adding fingerprint mine n't work update whatever reason.best phone yet
1.0 out of 5 stars,loved phone product listing u version two things make believe got international one instead third-party purchase electrocell
1.0 out of 5 stars,phone unlocked brand new international model therefore unable activate
4.0 out of 5 stars,like italmost size former galaxy s7edge
5.0 out of 5 stars,love phone able use either pin number fingerprint open n't activated face recognition everything loads fast nice voice recognition hands free dropped phone twice times onto tile floor without damage charge share feature great battery life awesome charging battery faster cellphone ever owned slim style great hand pocket fits front shirt pocket without weighing hard believe cellphone produce great quality pictures lots storage space plenty gb files apps would definitely recommend s10 phone
5.0 out of 5 stars,overall really like phone worried reviews saying box opened already got international version instead overheating etc.i 've problems phone got us version overheating order directly amazon third party 'd reccomend ensure 're getting pay 've previously unlocked s8 've also ordered amazon problems either.the slight complaint fingerprint scanner give 3 stars n't unlock phone instantly like s8 ca n't see exactly put finger 's big deal personally heads 're going purchase
2.0 out of 5 stars,advertised us version phone got international version return
5.0 out of 5 stars,samsung galaxy s10+ awesome phone set even going verizon started learning day lovely ladies phone color shape big slender great display another s10+ one different like description back front glass awesome clear plastic cover initials gold back hallelujah going take nap calm cause excited happy thanks god bless much success love mg
3.0 out of 5 stars,received phone box opened box box packed sticker removed easily usually sticker box harder remove create kind glue mark box removing opened box see phone open anything bag bubble bag pad protects screen usually buy new phone everything comes proper packaging usb c usb connector roaming inside box place charger properly placed charging cable usually tide wire tie one came without seems one try use phone tempered phone could refurbished phone never know
5.0 out of 5 stars,samsung s7 took dive needed replace asap bought `` refreshed `` s10 hoping would n't full scratches 'd need cover n't know features pleased upgraded device got stellar price point vzw payment plans
1.0 out of 5 stars,buy phone repeat buy phone phone amazon amazon help need replaced anything wrong purchased phone loved checked battery started giving issues dying within hours called amazon travelling vacation informed issue girl said made comments soon get back usa receive replacement item created replacement ticket informed 's good idea send phone 'll back us within 2months girl told issues soon get back give us call arrived back usa travels month half new person spoke explained unfortunately outside return date unfortunately need take samsung really amazon
3.0 out of 5 stars,repeat get phone going use at+t network rely wifi calling according at+t plans future allow unlocked phones use wifi calling hd calling volte call protect work care features great phone forced return reasons
1.0 out of 5 stars,hello everyone.i bought device disappointedly disappointed.for reason device came one sim-card whereas description ' say anything information default samsung come lots two sim-cards.my task choosing device precisely expensive flagship large functional channel two sim cards 's piece expensive iron.if solutions issue tell go consumer rights society lawsuits thereby return money spent empty.i believe consumer fraud
3.0 out of 5 stars,really gorila glass 6 s9 never got 1 scratch new less month old already 3 scratchs like happened anyone explain happenedotherwise phone incredible best samsung yet really really disappointed gorilla glass prevent scratches ... also put pocket keys maybe scratch gorilla glass good
4.0 out of 5 stars,500gb phone weight compared 128gb 's excellent phone 'm happy one gripe snapchat though phone `` warning camera failed `` issue like many s10+ 's seem figured snapchat causing issue fixes online none seem work 's become inconvience due much use camera work issue phone great would recommend
3.0 out of 5 stars,mistakenly thought phone us version international model phone snapdragon processor sending back getting prime day 599 would purchased known seller needs make clear opinion
5.0 out of 5 stars,top line phone far concerned top notch cellphone every respect need get powerhouse smartphone case fast quite slippery
5.0 out of 5 stars,great far get update bluetooth would work get try get frustrated keep checking updates something n't work right
5.0 out of 5 stars,dad excited new phone.for past days updating learning new phone.my dad 78 said easy use
2.0 out of 5 stars,use fingerprint reader even adjustment battery life far worse galaxy 7 edge using fsr less additionally speaker poor quality voice text function times inaccurate disappointed
